Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Händel, Georg Friedrich$d1685-1759$036552"	"Belshazzar. A sacred oratorio, in score, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025764	H 1522										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XI|a: Let God arise] ... Anthem III [London, Samuel Arnold; John Longman; Broderip]"	990025767	H 1525										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem II: In the Lord put I my trust] ... Anthem X [London, Samuel Arnold; John Longman; Broderip]"	990025774	H 1532										
"Händel, Georg Friedrich$d1685-1759$036552"	"Alcides [Alceste]. An English opera in score [London, Samuel Arnold; John Longman; Broderip]"	990025777	H 1535										
"Händel, Georg Friedrich$d1685-1759$036552"	"Solomon. A sacred oratorio in score, with all the additional alterations, composed in the year 1749 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025778	H 1536										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem IV: Let thy hand be strengthened]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025802	H 1560										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem III: My heart is inditing]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025804	H 1562										
"Händel, Georg Friedrich$d1685-1759$036552"	"The triumph of time and truth. An oratorio in score, composed in the year 1751 [London, Samuel Arnold; John Longman; Broderip]"	990025807	H 1565										
"Händel, Georg Friedrich$d1685-1759$036552"	"The music in the Alchymist [= Ouverture und Ballettmusik aus: Rodrigo] [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025762	H 1520										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem V|a: I will magnify thee]. Anthem, in score, composed at Cannons, for His Grace the Duke of Chandos between the year's 1718 & 1720 ... Anthem Ist [London, Samuel Arnold; John Longman; Broderip]"	990025765	H 1523										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XI|b: Let God arise] ... Anthem II [London, Samuel Arnold; John Longman; Broderip]"	990025766	H 1524										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VIII: O come let us sing unto the Lord] ... Anthem V [London, Samuel Arnold; John Longman; Broderip]"	990025769	H 1527										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VII: My song shall be always] ... Anthem VII [London, Samuel Arnold; John Longman; Broderip]"	990025771	H 1529										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XII: O praise the Lord, ye angels of His] ... Anthem XII [London, Samuel Arnold; John Longman; Broderip]"	990025776	H 1534										
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertante in nine parts [= Concerto grosso C], for two violins and a violoncello obligati, composed in the year 1738 [London, Samuel Arnold; John Longman; Broderip]"	990025780	H 1538										
"Händel, Georg Friedrich$d1685-1759$036552"	"Six concertos, in score, for the organ or harpsichord, with accompanyments for two violins, two hautboys, viola & violoncello ... concerto I-VI [op. 4] [London, Samuel Arnold; John Longman; Broderip]"	990025786	H 1544										
"Händel, Georg Friedrich$d1685-1759$036552"	"Six fugues or voluntary's for the organ or harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025791	H 1549										
"Händel, Georg Friedrich$d1685-1759$036552"	"Alexander Balus. An oratorio in score, composed in the year 1747 [London, Samuel Arnold; John Longman; Broderip]"	990025806	H 1564										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem II: The King shall rejoice]. Anthem for the coronation of Georg II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025809	H 1567										
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertos &c. for the organ in score, now first published 1797 [London, Samuel Arnold; John Longman; Broderip]"	990025813	H 1571										
"Händel, Georg Friedrich$d1685-1759$036552"	"Giulio Cesare. Opera in tre atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell' anno 1723 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025754	H 1512										
"Händel, Georg Friedrich$d1685-1759$036552"	"Susanna. A sacred oratorio. In score, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025792	H 1550										
"Händel, Georg Friedrich$d1685-1759$036552"	"Esther. A sacred oratorio. In score, composed in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025793	H 1551										
"Händel, Georg Friedrich$d1685-1759$036552"	"Anthem, for the funeral of Queen Caroline, composed in the year 1737 [London, Samuel Arnold; John Longman; Broderip]"	990025800	H 1558										
"Händel, Georg Friedrich$d1685-1759$036552"	"Messiah. A sacred oratorio in score with all the additional alterations, composed in the year 1741 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025738	H 1496										
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum [A] in score, composed for His Grace the Duke of Chandos (in the year 1720) [London, Samuel Arnold; John Longman; Broderip]"	990025745	H 1503										
"Händel, Georg Friedrich$d1685-1759$036552"	"Teseo. Opera in cinque atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell' anno 1713 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025751	H 1509										
"Corelli, Arcangelo$d1653-1713$030000734"	PARTE PRIMA | SONATE A VIOLINO E VIOLONE O CIMBALO | DEDICATE ALL ALTEZZA SERENISSIMA ELETTORALE DI | SOFIA CARLOTTA | ELETTRICE DI BRANDENBVRGO | PRINCIPESSA DI BRVNSWICH ET LVNEBVRGO DVCHESSA DI | PRVSSIA E DI MAGDEBVRGO CLEVES GIVLIERS BERGA STETINO | POMERANIA CASSVBIA E DE VANDALI IN SILESIA CROSSEN | BVRGRAVIA DI NORIMBERG PRINCIPESSA DI HALBERSTATT | MINDEN E CAMIN CONTESSA DI HOHENZOLLERN E | RAVENSPVRG RAVENSTAIN LAVENBVRG E BVTTAV | DA ARCANGELO CORELLI DA FVSIGNANO | OPERA QVINTA. | Si vendono a Pasquino all' Insegna della Stella da Filippo Farinelli. [space] Jncisa da Gasparo Pietra Santa	990011186	C 3801										
"Grétry, André-Ernest-Modeste$d1741-1813$083932"	"Méthode simple pour apprendre à préluder en peu de temps avec toutes les ressources de l'harmonie [Paris, Imprimerie de la République]"	990023439	G 4581										
Gillier the younger$d18.sc$030011663	"Six setts of lessons [G, c, F, A, F, E] for the harpsichord, opera seconda. [London, John Johnson]"	990021214	G 2042										
"Festing, Michael Christian$d1705-1752$030005118"	"Eight solos [A, c, E, D, b, B, F, e] for a violin and thorough-bass ... opera quarta [London, William Smith; author]"	990017898	F 673										
"Finger, Gottfried$d1660c-1730$030001069"	"Six sonatas [F, c, C, B, g, G] of two parts for two flutes ... opera secunda [London, John Walsh & Joseph Hare]"	990018066	F 847										
"Ducray-Duminil, François-Guillaume$d1761-1819$023691"	"L'autre nuit je réfléchissais. La croisée. Romance ... avec accompagnement de clavecin ou harpe [Paris, Imbault]"	990015377	D 3626										
"Dibdin, Charles$d1745-1814$0164414"	"Anne Hathewaye [London, author]"	990014143	D 2365										
"Dibdin, Charles$d1745-1814$0164414"	"The good of the nation [London, author]"	990014145	D 2367										
"Dibdin, Charles$d1745-1814$0164414"	"The Irish echo [London, author]"	990014146	D 2368										
"Dibdin, Charles$d1745-1814$0164414"	"Meg of Wapping [London, author]"	990014151	D 2373										
"Dibdin, Charles$d1745-1814$0164414"	"The portrait [London, issued with ""The By-Stander""]"	990014316	D 2542										
"Dibdin, Charles$d1745-1814$0164414"	"Sly old Hodge [London, author]"	990014324	D 2550										
"Dibdin, Charles$d1745-1814$0164414"	"The tar for all weathers [London, author]"	990014328	D 2554										
"Dibdin, Charles$d1745-1814$0164414"	"The drummer [London, author]"	990014366	D 2593										
"Dibdin, Charles$d1745-1814$0164414"	"Jack's gratitude [London, author]"	990014368	D 2595										
"Dibdin, Charles$d1745-1814$0164414"	"Life's a pun [London, author]"	990014371	D 2598										
"Dibdin, Charles$d1745-1814$0164414"	"Poor Peg [London, author]"	990014379	D 2606										
"Dibdin, Charles$d1745-1814$0164414"	"Jack at the windlass [London, author]"	990014423	D 2650										
"Dibdin, Charles$d1745-1814$0164414"	"None so pretty [London, author]"	990014433	D 2660										
"Dibdin, Charles$d1745-1814$0164414"	"A Welch love song [London, author]"	990014437	D 2664										
"Dibdin, Charles$d1745-1814$0164414"	"Wit and beauty [London, author]"	990014438	D 2665										
"Dibdin, Charles$d1745-1814$0164414"	"The Irish wedding [London, author]"	990014147	D 2369										
"Dibdin, Charles$d1745-1814$0164414"	"Negro philosophy [London, author]"	990014160	D 2382										
"Dibdin, Charles$d1745-1814$0164414"	"Pope Joan [London, author]"	990014162	D 2384										
"Dibdin, Charles$d1745-1814$0164414"	"The rustic Orpheus [London, author]"	990014163	D 2385										
"Dibdin, Charles$d1745-1814$0164414"	"Ben Backstay [London, author]"	990014281	D 2507										
"Dibdin, Charles$d1745-1814$0164414"	"The sailor's return [London, author]"	990014389	D 2616										
"Dibdin, Charles$d1745-1814$0164414"	"The compact of freedom [London, author]"	990014414	D 2641										
"Dibdin, Charles$d1745-1814$0164414"	"The camp of pleasure [London, author]"	990014536	D 2763										
"Dibdin, Charles$d1745-1814$0164414"	"Family likeness [London, author]"	990014546	D 2773										
"Dibdin, Charles$d1745-1814$0164414"	"Happy Jerry [London, author]"	990014547	D 2774										
