UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
1344821	"Eley, C. F.(Chr. Fr.)"	"10$aThree duetts for a violin, and a violoncello /$ccomposed by C.F. Eley ; op. 1 ..."	"\\$aLondon :$bPrinted for the author ..., and may be had at Platts's Music Warehouse ...,$c[ca. 1790]"	"part 1 ([1], 15, [1] p. (p. [16] advertisement))"	E 616		990016996			No		RISM ID no. 	990016996	RISM ID no. 990016996
1344917	"Eley, C. F.(Chr. Fr.)"	"10$aSix duetts, for two violoncellos ... /$cby C.F. Eley ; opera 2"	"\\$aLondon :$bPrinted for the author ...,$c[179-?]"	part 1 (23 p.)	E 617		990016997			No		RISM ID no. 	990016997	RISM ID no. 990016997
1488960	"Colonna, Giovanni Paolo,1637-1695"	"10$aMesse piene a otto voci :$bcon vno, ò due organi se piace ... /$cda Gio. Paolo Colonna ... ; opera quinta."	"\\$aIn Bologna :$bPer Giacomo Monti,$c1684."	parts	C 3466		990010870			no		RISM ID no. 	990010870	RISM ID no. 990010870
1509694	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aMémoires, ou, Essai sur la musique /$cpar M. Grétry ..."	"0\$aA Paris :$bChez l'auteur ..., Prault ...; et à Liege [chez] F.J. Desoer ...,$c1789."	"[3], 565, [3] p. :music."		"VI, 379"	Not in RISM			"VI, 379"				
1509707	"Coferati, Matteo,1638-1703"	"13$aIl cantore addottrinato,$bovvero, Regole del canto corale : oue con breue, e facil metodo s'insegna la pratica de' precetti più necessari del canto fermo : il modo di mantenere il coro sempre alla medesima altezza di voce : di ripigliare doue resta l'organo : d'intonare molte cose, che fra l'anno si cantano : ed in particolare tutti gl'inni."	"0\$aIn Firenze :$bPer il Vangelisti,$c[1691?]"	"xvj, 391 p. :ill., music."		"VI, 228"	1001036504			No		RISM ID no. 	1001036504	RISM ID no. 1001036504
1509714	"Gervasoni, Carlo,1762-1819"	13$aLa scuola della musica :$bin tre parti divisa /$copera di Carlo Gervasoni ...	"0\$aPiacenza :$bDai torchj di Niccolò Orcesi regio stampatore,$c1800."	"2 v. :music, port."		"VI, 361"	Not in RISM							
1525672	"Coferati, Matteo,1638-1703"	"13$aIl cantore addottrinato,$bovvero, Regole del canto corale : oue con breue, e facil metodo s'insegna la pratica de' precetti più necessari del canto fermo : il modo di mantenere il coro sempre alla medesima altezza di voce : di ripigliare doue resta l'organo : d'intonare molte cose, che fra l'anno si cantano : e in particolare tutti gl'inni /$copera di Matteo Coferati ..."	"0\$aIn Firenze :$bPer il Vangelisti,$c1682."	"[40], 306, [14] p. :ill., music."		"VI, 228"	1001036504			No	Same as row 434	RISM ID no. 	1001036504	RISM ID no. 1001036504
1629103	"Gluck, Christoph Willibald,Ritter von,1714-1787."	00$aArmide :$bgrosse heroische Oper /$cvon Quinault ; übersetzt von J. v. Voss ; vollständiger Clavierauszug ; mit deutschem und französischem Text ; bearbeitet von J.P. Schmidt ; componirt vom Ritter Gluck = Armide : opéra / de Gluck ; partition de piano avec paroles franç. et allemandes.	"0\$aBerlin :$bIn der Schlesinger'schen Buch- und Musikhandlung,$c[1836]"	1 vocal score (190 p.)	G 2683		990021813			No		RISM ID no. 	990021813	RISM ID no. 990021813
1746992	"Jones, Edward,1752-1824."	"12$aA favorite French pastoral song :$badapted, with accompaniments, for the harp or harpsichord /$cby Ed. Jones ..."	"\\$aLondon :$bPrinted by Muzio, Clementi ...,$c[180-?]"	3 p. of music.			Not in RISM				No RISM A or B number			
2007920	"Müller, August Eberhard,1767-1817."	10$aFantasia per il pianoforte :$bper servire d'introduzione a un tema di Mozart con variazioni ... /$cda A.E. Müller ; op. 35.	"\\$aIn Lipsia :$bPresso C.F. Peters,$c[ca. 1815]"	12 p. of music.	M 7782		990046111			No		RISM ID no. 	990046111	RISM ID no. 990046111
2221359	"Paisiello, Giovanni,1740-1816"	"13$aLe marquis Tulipano;$bopera bouffon en deux actes.$cParodié sur la musique del Signor G. Paësiello.  Représenté pour la premiere fois sur le Théatre de Monsieur frere du Roi, le 28. janvier 1789."	"0\$aParis,$bJmbault$c[1789]"	score (203 p.)	P 364		990047982			no		RISM ID no. 	990047982	RISM ID no. 990047982
2358734	"Wölfl, Joseph,1773-1812."	"12$aL'amour romanesque :$bopéra en un acte : representé pour la première fois sur le Thé^atre de l'Opéra comique, le 12 Ventose an 12 /$cparoles d'Armand Charlemagne ; mis en musique ... par J. Woelfl ..."	"\\$aA Paris :$bChez Mme. Duhan ..., $c[1804]"	"1 score ([3], 151, 2-5 p.) (p. 2-5 at end advertisements)"	"WW 1722 II, 180"		991007064			no		RISM ID no. 	991007064	RISM ID no. 991007064
2423994	"Mattheson, Johann,1681-1764."	10$aKern melodischer Wissenschaft :$bbestehend in den auserlesensten Haupt- und Grund-Lehren der musicalischen Setz-Kunst oder Composition : ass ein Vorläuffer des Vollkommenen Capellmeisters /$causgearbeitet von Mattheson.	"0\$aHamburg :$bVerlegts Christian Herold,$c1737."	"[16], 182, [10] p. :music."		"VI, 561"	Not in RISM							
2462031	"Fabbrizi, Pietro"	10$aRegole generali di canto fermo :$braccolte da diuersi autori /$cda D. Pietro Fabritii ...	"0\$aIn Roma :$bPer il Mascardi; ad istanza di Francesco Maria Rossi de' Caifabri ...,$c1708."	"80 p. :ill., music."		"VI, 301"	Not in RISM							
2462074	"Niedt, Friederich Erhardt,1674-1708."	"10$aFriderich Erhard Niedtens ... Musicalische Handleitung,$boder, Gründlicher Unterricht : vermittelst welchen ein Liebhaber der edlen Music in kurtzer Zeit sich so weit perfectioniren kan : dass Er nicht allein den General-Bass nach denen gesetzten deutlichen und wenigen Regeln fertig spielen, sondern auch folglich allerley Sachen selbst componiren, und ein rechtschaffener Organiste und Musicus heissen könne ; erster Theil, handelt vom General-Bass, denselben schlecht weg zu spielen. --"	"0\$aHamburg :$bBey Benjamin Schillern,$c1710."	[20] p.		"VI, 616"	Not in RISM							
2559244	"Fux, Johann Joseph,1660-1741."	"10$aGradus ad Parnassum, sive, Manuductio ad compositionem musicae regularem,$bmethodo novâ, ac certâ, nondum antè tam exacto ordine in lucem edita /$celaborata à Joanne Josepho Fux ..."	"0\$aViennae Austriae :$bTypis Joannis Petri Van Ghelen ...,$c1725."	"[8], 280 p., [1] fold. leaf of plates :ill., music."		"VI, 340"	not in RISM							
2563376	"Floquet, Étienne Joseph,1748-1785"	"12$aL'union de l'amour et des arts :$bballet héroique en trois actes savoir: Bathile et Chloé, Théodore, et La cour d'amour : représenté pour la premiere fois par l'Académie Royale de musique le mardi 7 septembre 1773, et devant Sa Majesté a Choisy le Roy le 9 fevrier 1774 ... /$cpar M. Floquet."	"\\$aA Paris :$bChez l'auteur ...; et a l'Opera, et aux adresses ordinaires,$c[1774]"	"1 score ([3], 186, [1], 90 p.)"	F 1165		990018367			No		RISM ID no. 	990018367	RISM ID no. 990018367
